hotel_id,hotel_name,hotel_URL,img_URL,street_address,city,latitude,longitude,wt
2514498,Hotel Pennsylvania New York,http://www.tripadvisor.com/ShowUserReviews-g60763-d214197-Reviews-Hotel_Pennsylvania_New_York-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/68/bb/68bb08c30cf9214005b9e32204bfd8b05large.jpg,401 Seventh Avenue at 33rd Street,New York City,40.749932,-73.990991,985
93421,Hotel Carter,http://www.tripadvisor.com/ShowUserReviews-g60763-d93421-Reviews-Hotel_Carter-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/4d/6b/4d6b477e4a7d63ea47fefc3eb292929f6large.jpg,250 West 43rd Street,New York City,40.757368,-73.988436,486
195280,Kensington Close Hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d195280-Reviews-Kensington_Close_Hotel-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/9e/fe/9efec13fb347fa116ac233a99803079b3large.jpg,Wrights Lane,London,51.499989,-0.192925,304
193098,Thistle City Barbican,http://www.tripadvisor.com/ShowUserReviews-g186338-d193098-Reviews-Thistle_City_Barbican-London_England.html,http://media-cdn.tripadvisor.com/media/photo-s/02/32/69/ea/otium-health-club-spa.jpg,120 Central Street,London,51.527475,-0.096915,241
272114,Desert Inn Resort,http://www.tripadvisor.com/ShowUserReviews-g34172-d272114-Reviews-Desert_Inn_Resort-Daytona_Beach_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/69/9f/699f5b53d27ff6bdacf0db87c0ae8a461large.jpg,900 North Atlantic Avenue,Daytona Beach,29.241166,-81.014635,146
243667,Travelodge London Kings Cross Royal Scot,http://www.tripadvisor.com/ShowUserReviews-g186338-d243667-Reviews-Travelodge_London_Kings_Cross_Royal_Scot-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/7b/87/7b87343bd7868a57d681cba43fd2ce8d3large.jpg,100 Kings Cross Road,London,,,
209138,The Tophams Hotel Belgravia,http://www.tripadvisor.com/ShowUserReviews-g186338-d209138-Reviews-The_Tophams_Hotel_Belgravia-London_England.html,http://media-cdn.tripadvisor.com/media/photo-s/02/2b/08/2b/bedroom.jpg,28 Ebury Street,London,,,
218402,Shaftesbury Premier Hyde Park Paddington,http://www.tripadvisor.com/ShowUserReviews-g186338-d218402-Reviews-Shaftesbury_Premier_Hyde_Park_Paddington-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/c4/2c/c42c14cd6a69f5333b276f32c5458b997large.jpg,78-82 Westbourne Terrace,London,,,
195150,Bayswater Inn,http://www.tripadvisor.com/ShowUserReviews-g186338-d195150-Reviews-Bayswater_Inn-London_England.html,http://media-cdn.tripadvisor.com/media/photo-s/02/40/fa/12/exterior.jpg,8-16 Princes Square,London,,,
2514324,Queens Hotel Crystal Palace,http://www.tripadvisor.com/ShowUserReviews-g186338-d189740-Reviews-Queens_Hotel_Crystal_Palace-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/31/90/3190e8633e291e8b41582a936a22a34a5large.jpg,122 Church Rd,London,,,
478955,Tidelands Caribbean Hotel and Suites,http://www.tripadvisor.com/ShowUserReviews-g41298-d478955-Reviews-Tidelands_Caribbean_Hotel_and_Suites-Ocean_City_Maryland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/31/e2/31e2e5539f7cf220d23d611a48d742b95large.jpg,409 Atlantic Avenue,Ocean City,38.336503,-75.084906,
193170,Queens Park Hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d193170-Reviews-Queens_Park_Hotel-London_England.html,http://media-cdn.tripadvisor.com/media/photo-s/01/eb/32/28/reception.jpg,48 Queensborough Terrace,London,,,
249682,St. Vincent's Guest House,http://www.tripadvisor.com/ShowUserReviews-g60864-d249682-Reviews-St_Vincent_s_Guest_House-New_Orleans_Louisiana.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/cf/d5/cfd5039824bd904c1c5e49930233306f1large.jpg,1507 Magazine Street,New Orleans,29.934249,-90.072862,
2514314,Travelodge Wembley,http://www.tripadvisor.com/ShowUserReviews-g186338-d597383-Reviews-Travelodge_Wembley-London_England.html,http://media-cdn.tripadvisor.com/media/photo-o/01/c0/1d/d8/travelodge-wembley-thumbnail.jpg,North Circular Road,London,,,
2514284,Park Hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d224393-Reviews-Park_Hotel-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/e9/ab/e9abca1a15eed7b5a3de9765b5ea5e564large.jpg,64 Belgrave Rd,London,,,
88307,Grand Seas Resort,http://www.tripadvisor.com/ShowUserReviews-g34172-d88307-Reviews-Grand_Seas_Resort-Daytona_Beach_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/e2/35/e235a16656c18536561ef3e5874130615large.jpg,2424 North Atlantic Avenue,Daytona Beach,,,
151823,San Juan Beach Hotel,http://www.tripadvisor.com/ShowUserReviews-g147320-d151823-Reviews-San_Juan_Beach_Hotel-San_Juan_Puerto_Rico.html,http://media-cdn.tripadvisor.com/media/photo-s/01/f0/e8/7b/san-juan-beach-hotel.jpg,1045 Ashford Avenue,San Juan,18.459294,-66.077265,
122007,Manhattan Broadway Hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d122007-Reviews-Manhattan_Broadway_Hotel-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/photo-s/02/5c/01/64/manhattan-broadway-hotel.jpg,273 West 38th Street,New York City,,,
249328,Hotel Manofa,http://www.tripadvisor.com/ShowUserReviews-g188590-d249328-Reviews-Hotel_Manofa-Amsterdam_Noord_Holland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/fd/23/fd23ed54f2c5e572e9c76f59a0917ba45large.jpg,Damrak 46-48,Amsterdam,52.375424,4.896121,
2514293,Cromwell Crown Hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d192104-Reviews-Cromwell_Crown_Hotel-London_England.html,http://media-cdn.tripadvisor.com/media/photo-s/01/c4/71/1a/refurbished.jpg,139 - 141 Cromwell Road,London,,,
2514209,New York Inn,http://www.tripadvisor.com/ShowUserReviews-g60763-d93356-Reviews-New_York_Inn-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/48/72/4872605655555dd490ce5c25df1bc8f81large.jpg,765 8th Avenue,New York City,,,
224229,Hotel Riverside Studios,http://www.tripadvisor.com/ShowUserReviews-g60763-d224229-Reviews-Hotel_Riverside_Studios-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/38/da/38daf6b8b8849e22e48b99078990769e3large.jpg,342 West 71st Street,New York City,,,
639378,Hotel Y Boulevard,http://www.tripadvisor.com/ShowUserReviews-g188590-d639378-Reviews-Hotel_Y_Boulevard-Amsterdam_Noord_Holland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/c5/3e/c53e4ba74b68fcf3afb4b1ac7bade0705large.jpg,Prins Hendrikkade 144-145,Amsterdam,,,
231321,Delta Hotel Amsterdam City Centre,http://www.tripadvisor.com/ShowUserReviews-g188590-d231321-Reviews-Delta_Hotel_Amsterdam_City_Centre-Amsterdam_Noord_Holland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/71/4b/714be1516da3550e86582fd82e239ea15large.jpg,Damrak 42-43,Amsterdam,,,
306174,Hotel Grand Central,http://www.tripadvisor.com/ShowUserReviews-g294265-d306174-Reviews-Hotel_Grand_Central-Singapore.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/3d/b5/3db570ff52b144094cc98657222d46223large.jpg,22 Cavenagh Road,Singapore,1.352083,103.819836,
85007,Days Inn Miami International Airport,http://www.tripadvisor.com/ShowUserReviews-g34438-d85007-Reviews-Days_Inn_Miami_International_Airport-Miami_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/ed/04/ed04823ac268f411f073743446e375346large.jpg,7250 NW 11th Street and 72nd Avenue,Miami,25.76168,-80.19179,
222985,River Park Hotel & Suites Downtown/Convention Center,http://www.tripadvisor.com/ShowUserReviews-g34438-d222985-Reviews-River_Park_Hotel_Suites_Downtown_Convention_Center-Miami_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/6d/d5/6dd5ab250623b3a10b669d0b83f6de9a3large.jpg,100 SE 4th Street,Miami,,,
96611,Indian Point Lodge,http://www.tripadvisor.com/ShowUserReviews-g44160-d96611-Reviews-Indian_Point_Lodge-Branson_Missouri.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/c1/45/c145807d3869575664784c9735ee25931large.jpg,71 Dogwood Park Trail,Missouri,36.632151,-93.342881,
2515755,Mission Valley Resort,http://www.tripadvisor.com/ShowUserReviews-g60750-d80244-Reviews-Mission_Valley_Resort-San_Diego_California.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/59/6f/596f3d5d69388dd16c165663b40f016b5large.jpg,875 Hotel Circle South,San Diego,32.715738,-117.161084,
1595506,Hotel Piazza Venezia Roma,http://www.tripadvisor.com/ShowUserReviews-g187791-d1595506-Reviews-Hotel_Piazza_Venezia_Roma-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/66/cd/66cd7f629fd4829e09b7e6b431a76cd63large.jpg,Via Cesare Battisti,Rome,41.902784,12.496366,
228568,Tryp Diana,http://www.tripadvisor.com/ShowUserReviews-g187514-d228568-Reviews-Tryp_Diana-Madrid.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/e3/cd/e3cd52a5438e8064ebd75b53d51f9d152large.jpg,Calle del Galeon,Madrid,40.416775,-3.70379,
282801,Harrison Hall,http://www.tripadvisor.com/ShowUserReviews-g41298-d282801-Reviews-Harrison_Hall-Ocean_City_Maryland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/a6/2b/a62b6c763c5f6c7c46fa7c06a7667a205large.jpg,On the boardwalk at 15th Street,Ocean City,,,
1195891,Rodeway Inn Miami Airport,http://www.tripadvisor.com/ShowUserReviews-g34438-d1195891-Reviews-Rodeway_Inn_Miami_Airport-Miami_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/dc/45/dc45adc818ec25c07a8719932eafce7c3large.jpg,1050 NW 14th Street,Miami,,,
183093,Town Inn Suites,http://www.tripadvisor.com/ShowUserReviews-g155019-d183093-Reviews-Town_Inn_Suites-Toronto_Ontario.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/0f/d7/0fd761b2497c65aea4164515f5be82151large.jpg,620 Church Street,Toronto,43.653226,-79.383184,
242220,Diamond Palace Hotel & Casino,http://www.tripadvisor.com/ShowUserReviews-g147320-d242220-Reviews-Diamond_Palace_Hotel_Casino-San_Juan_Puerto_Rico.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/86/a1/86a1a98adbd13a26149d9c82778a2be61large.jpg,55 Condado Ave.,San Juan,,,
